"Gene","HUVEC_low1","HUVEC_low2","HUVEC_low3","HUVEC_high1","HUVEC_high2","HUVEC_high3","HUVEC_high4","HUAEC_low1","HUAEC_low2","HUAEC_low3","HUAEC_low4","HUAEC_high1","HUAEC_high2","HUAEC_high3","HUAEC_high4"
"ENSG00000008952.18",36,63,45,178,81,179,119,142,235,179,133,121,28,240,77
"ENSG00000008988.12",13975,17088,13624,58504,34114,86125,24198,64354,84347,93684,84765,83697,15795,82129,64004
"ENSG00000009307.18",656,518,399,652,634,692,527,493,1115,1018,877,554,107,644,441
"ENSG00000009335.20",26,32,22,33,44,23,18,29,34,49,30,20,6,33,19
"ENSG00000009413.17",2,12,0,1,18,1,0,1,0,8,1,1,0,1,0
"ENSG00000009724.19",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000009780.17",10,0,0,1,0,10,20,10,10,18,1,1,0,1,1
"ENSG00000009830.14",18,9,8,30,1,0,4,6,22,30,8,1,0,12,0
"ENSG00000009844.17",80,16,22,48,56,43,24,42,100,38,59,54,27,51,4
"ENSG00000009954.11",6,8,7,9,3,3,0,10,9,5,10,11,0,1,11
"ENSG00000010017.14",9,2,2,6,8,11,5,10,12,8,6,5,3,2,11
"ENSG00000010030.14",0,0,0,0,12,12,0,0,0,0,0,4,0,0,0
"ENSG00000010072.17",4,1,1,9,1,4,10,0,33,9,1,5,8,2,8
"ENSG00000010165.21",23,25,28,28,44,22,16,13,26,50,46,21,8,22,12
"ENSG00000010219.14",85,78,54,217,114,312,84,225,303,354,274,239,68,265,199
"ENSG00000010244.20",116,89,51,123,104,138,85,149,154,151,111,46,18,97,74
"ENSG00000010256.13",137,231,110,232,283,324,162,264,403,371,316,249,26,220,211
"ENSG00000010270.15",52,46,24,68,34,68,31,52,66,83,47,51,9,55,42
"ENSG00000010278.16",1657,1040,858,3157,1464,2319,1364,1319,1624,1572,1258,1168,351,1308,1063
"ENSG00000010292.14",48,48,20,88,58,74,37,30,73,78,32,61,16,59,30
"ENSG00000010295.21",34,36,9,40,6,28,58,1,26,28,15,0,0,16,33
"ENSG00000010318.22",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000010319.8",4,1,0,0,2,2,4,3,8,11,8,5,0,11,5
"ENSG00000010322.17",42,56,16,11,15,37,18,33,57,69,64,21,0,62,13
"ENSG00000010327.11",58,16,8,36,43,28,39,59,95,78,88,57,9,47,11
"ENSG00000010361.15",8,7,1,0,6,0,2,0,0,8,3,2,0,6,0
"ENSG00000010404.19",22,6,15,24,12,13,9,9,27,30,18,18,0,46,11
"ENSG00000010438.17",38,22,11,76,21,112,14,71,85,85,75,52,5,60,65
"ENSG00000010539.13",12,1,3,0,20,0,1,13,1,1,16,0,0,1,6
"ENSG00000010626.16",37,15,5,26,20,52,41,5,54,30,13,25,0,21,7
"ENSG00000010671.18",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000010704.20",31,4,0,0,4,24,1,16,1,23,11,0,0,21,1
"ENSG00000010803.19",17,1,32,70,18,11,16,16,15,19,39,11,1,40,22
"ENSG00000010810.19",76,40,40,140,44,90,51,116,234,197,125,120,15,127,112
"ENSG00000010818.11",0,0,1,0,1,0,0,11,0,0,0,1,0,0,0
"ENSG00000011007.14",22,27,21,30,33,19,33,12,27,36,48,1,0,24,24
"ENSG00000011009.13",17,19,15,51,36,70,24,41,86,75,39,57,3,45,32
